1	один	один	NUM	_	Case=Nom|Gender=Masc	_	_	_	@mn1985m-words#@mn1985m#281.689#281.971
2	на	на	ADP	_	_	_	_	_	@mn1985m-words#@mn1985m#281.971#282.253
3	страну	страна	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@mn1985m-words#@mn1985m#282.535#282.817
4	восемьдесят	восемьдесить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mn1985m-words#@mn1985m#282.817#283.099
5	девять	девять	NUM	_	Case=Nom	_	_	_	@mn1985m-words#@mn1985m#283.099#283.381
6	и	и	CCONJ	_	_	_	_	_	@mn1985m-words#@mn1985m#283.381#283.663
7	девять	девять	NUM	_	Case=Nom	_	_	_	@mn1985m-words#@mn1985m#283.663#283.945
8	в	в	ADP	_	_	_	_	_	@mn1985m-words#@mn1985m#283.945#284.227
9	Москве	Москва	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@mn1985m-words#@mn1985m#284.227#284.509
10	сто	сто	NUM	_	Case=Acc	_	_	_	@mn1985m-words#@mn1985m#284.509#284.791
11	два	два	NUM	_	Animacy=Inan|Case=Acc|Gender=Masc	_	_	_	@mn1985m-words#@mn1985m#284.791#285.073
12	ноль	нуль	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@mn1985m-words#@mn1985m#285.073#285.355
13	в	в	ADP	_	_	_	_	_	@mn1985m-words#@mn1985m#285.355#285.637
14	Санкт-Петербурге	Санкт-Петербург	PROPN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@mn1985m-words#@mn1985m#285.637#285.919
15	семьсот	семьсот	NUM	_	Case=Nom	_	_	_	@mn1985m-words#@mn1985m#285.919#286.201
16	сорок	сорок	NUM	_	Case=Nom	_	_	_	@mn1985m-words#@mn1985m#286.201#286.483
17	второй/	второй/	PUNCT	_	_	_	_	_	@mn1985m-words#@mn1985m#286.483#286.765
18	кто?	кто?	SYM	_	_	_	_	_	@mn1985m-words#@mn1985m#286.765#287.047
19	канал?	канал?	SYM	_	_	_	_	_	@mn1985m-words#@mn1985m#287.047#287.329
20	правильно	правильно	ADV	_	Degree=Pos	_	_	_	@mn1985m-words#@mn1985m#287.329#287.611
21	канал	канал	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@mn1985m-words#@mn1985m#287.611#287.893
22	в	в	ADP	_	_	_	_	_	@mn1985m-words#@mn1985m#287.893#288.175
23	триколоре	триколор	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@mn1985m-words#@mn1985m#288.175#288.457
24	трансляция	трансляция	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@mn1985m-words#@mn1985m#288.457#288.739
25	прямая	прямой	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@mn1985m-words#@mn1985m#288.739#289.021
26	страна	страна	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@mn1985m-words#@mn1985m#289.021#289.303
27	точка	точка	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@mn1985m-words#@mn1985m#289.303#289.585
28	фм	ф	ADJ	_	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@mn1985m-words#@mn1985m#289.585#289.867
29	а	а	CCONJ	_	_	_	_	_	@mn1985m-words#@mn1985m#289.867#290.149
30	епще	епще	ADV	_	Degree=Cmp	_	_	_	@mn1985m-words#@mn1985m#290.149#290.431
31	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	@mn1985m-words#@mn1985m#290.431#290.713
32	есть	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mn1985m-words#@mn1985m#290.713#290.995
33	в	в	ADP	_	_	_	_	_	@mn1985m-words#@mn1985m#290.995#291.277
34	Яндекс-эфире	Яндекс-эфир	PROPN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@mn1985m-words#@mn1985m#291.277#291.559
35	и/	и/	PUNCT	_	_	_	_	_	@mn1985m-words#@mn1985m#291.559#291.841
36	друзья	друг	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@mn1985m-words#@mn1985m#291.841#292.123
37	мои/	мои/	PUNCT	_	_	_	_	_	@mn1985m-words#@mn1985m#292.123#292.405
38	у	у	ADP	_	_	_	_	_	@mn1985m-words#@mn1985m#292.405#292.687
39	нас	мы	PRON	_	Case=Gen|Number=Plur|Person=1	_	_	_	@mn1985m-words#@mn1985m#292.687#292.969
40	сегодня	сегодня	ADV	_	Degree=Pos	_	_	_	@mn1985m-words#@mn1985m#292.969#293.251
41	Алина	Алина	PROPN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@mn1985m-words#@mn1985m#293.251#293.533
42	Гросу	Грос	PROPN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing	_	_	_	@mn1985m-words#@mn1985m#293.533#293.815
43	в	в	ADP	_	_	_	_	_	@mn1985m-words#@mn1985m#293.815#294.097
44	гостях/	гостях/	PUNCT	_	_	_	_	_	@mn1985m-words#@mn1985m#294.097#294.379
45	не	не	PART	_	_	_	_	_	@mn1985m-words#@mn1985m#294.379#294.661
